Feature,Occurrences
1022,114
996,99
976,99
708,89
766,86
955,85
630,82
881,79
793,78
545,77
769,75
781,74
855,73
767,72
819,69
841,65
982,65
790,62
586,61
845,59
794,59
898,59
773,56
735,53
918,52
698,50
1005,49
911,49
756,49
877,48
935,48
669,45
836,45
1017,44
625,43
763,43
888,43
978,42
737,42
950,42
813,42
757,41
782,41
1024,41
895,40
637,40
962,39
922,38
839,38
703,37
907,37
868,36
513,36
896,36
889,36
835,36
788,35
974,35
947,34
1004,34
777,33
834,33
275,32
798,32
946,32
869,31
914,31
852,31
961,31
584,30
843,30
1006,30
1015,29
850,29
734,28
741,28
1016,28
676,28
875,28
933,27
657,27
860,27
533,27
651,27
561,27
994,27
930,26
956,26
652,26
886,26
570,25
672,25
786,25
937,25
660,25
934,25
683,25
787,24
980,24
795,24
758,24
752,23
897,23
796,23
909,23
949,23
556,23
874,23
987,22
541,22
986,22
981,22
799,22
565,22
840,22
902,21
549,21
778,21
1019,21
693,21
759,21
862,20
686,20
905,20
827,20
899,19
1008,19
989,19
912,19
623,19
863,19
557,19
309,18
618,18
908,18
654,18
579,18
155,17
815,17
959,17
972,17
970,17
211,17
887,17
953,16
1002,16
617,16
784,16
600,16
969,16
920,16
882,16
558,15
724,15
725,15
728,15
732,15
842,14
719,14
910,14
568,14
196,14
484,13
603,13
828,13
857,13
666,13
945,13
817,13
721,13
856,13
890,13
41,13
434,13
770,13
679,13
559,13
336,12
800,12
880,12
675,12
464,12
832,12
919,12
205,12
977,11
629,11
680,11
649,11
878,11
885,11
140,11
1011,11
319,11
772,11
550,11
704,11
1012,11
846,11
872,11
926,11
642,11
858,11
451,11
927,11
925,10
951,10
57,10
716,10
473,10
77,10
2,10
103,10
1014,10
754,10
246,10
66,10
131,10
133,10
61,10
776,10
144,10
952,10
924,9
333,9
582,9
8,9
100,9
771,9
879,9
1021,9
871,9
439,8
913,8
631,8
688,8
544,8
929,8
271,8
152,8
282,8
645,8
478,8
867,8
483,8
590,8
923,8
394,8
457,8
997,8
174,8
668,8
32,8
119,8
825,8
706,8
859,8
123,7
148,7
519,7
634,7
883,7
12,7
749,7
500,7
581,7
492,7
184,7
215,7
225,7
591,7
207,7
171,7
740,7
847,7
107,7
864,7
435,7
671,7
894,7
411,7
469,7
479,7
136,6
397,6
673,6
597,6
566,6
755,6
318,6
518,6
200,6
940,6
102,6
347,6
393,6
399,6
801,6
677,6
51,6
695,6
967,6
547,6
14,6
81,6
289,6
366,6
687,6
702,6
166,6
244,6
311,6
998,6
764,6
916,6
159,5
170,5
340,5
354,5
462,5
607,5
1018,5
760,5
252,5
3,5
26,5
791,5
98,5
726,5
138,5
62,5
371,5
465,5
606,5
287,5
219,5
1007,5
643,5
722,5
502,5
814,5
873,5
183,5
268,5
115,5
548,5
546,5
552,5
60,5
965,5
40,5
599,5
273,5
870,5
750,5
193,5
436,5
145,5
86,5
498,5
373,4
389,4
576,4
357,4
172,4
684,4
74,4
339,4
663,4
511,4
707,4
715,4
1023,4
325,4
229,4
308,4
441,4
751,4
891,4
941,4
335,4
142,4
278,4
346,4
535,4
127,4
928,4
245,4
596,4
111,4
17,4
960,4
876,4
310,4
678,4
251,4
665,4
826,4
501,4
45,4
78,4
38,3
445,3
25,3
43,3
227,3
272,3
351,3
437,3
526,3
274,3
589,3
892,3
391,3
481,3
50,3
199,3
402,3
431,3
714,3
993,3
21,3
122,3
349,3
789,3
495,3
85,3
87,3
147,3
370,3
594,3
988,3
34,3
160,3
440,3
467,3
710,3
83,3
68,3
948,3
542,3
118,3
632,3
529,3
243,3
90,3
992,3
285,3
165,3
387,3
448,3
329,3
822,3
493,3
226,2
23,2
109,2
237,2
418,2
453,2
647,2
564,2
509,2
837,2
124,2
620,2
942,2
580,2
324,2
359,2
260,2
297,2
409,2
659,2
44,2
239,2
421,2
494,2
854,2
228,2
202,2
865,2
235,2
223,2
385,2
718,2
723,2
743,2
504,2
534,2
906,2
314,2
353,2
382,2
337,2
477,2
97,2
42,2
213,2
694,2
466,2
964,2
701,2
635,2
375,2
381,2
454,2
528,2
217,2
302,2
1020,2
134,2
727,2
392,2
305,1
231,1
379,1
785,1
939,1
615,1
80,1
616,1
110,1
236,1
198,1
990,1
780,1
266,1
717,1
28,1
70,1
598,1
132,1
37,1
173,1
301,1
400,1
739,1
531,1
10,1
567,1
374,1
277,1
516,1
609,1
640,1
405,1
49,1
592,1
433,1
348,1
89,1
650,1
162,1
206,1
662,1
823,1
1001,1
775,1
812,1
979,1
72,1
844,1
286,1
361,1
129,1
82,1
139,1
342,1
79,1
106,1
194,1
417,1
290,1
96,1
973,1
